run_id,model,bin,conf,acc,size
5,RandomForest,2,1.7635183045679042e-23,0.003105590062111801,2254
5,RandomForest,3,3.8247199676964473e-11,0.5297249334516415,2254
5,RandomForest,4,7.100054736631271e-07,0.7102928127772848,2254
5,RandomForest,5,0.0684317984219839,0.774622892635315,2254
5,RandomForest,6,0.9579326429887122,0.7426796805678794,2254
5,RandomForest,7,0.9999999990559008,0.9445430346051464,2254
5,RandomForest,8,1.0,0.9920141969831411,2254
5,RandomForest,9,1.0,0.9937998228520815,2258
5,MLP,0,0.00590680512364958,0.34383318544809227,2254
5,MLP,1,0.007969729242854317,0.022182786157941437,2254
5,MLP,2,0.00918377579364079,0.011978704525288377,2254
5,MLP,3,0.07200004119679053,0.14995563442768411,2254
5,MLP,4,0.34046414714641765,0.7866015971606034,2254
5,MLP,5,0.49148485902970745,0.5736468500443656,2254
5,MLP,6,0.7374327657219747,0.8300798580301686,2254
5,MLP,7,0.9974644180043141,0.9733806566104702,2254
5,MLP,8,0.9999846307481796,1.0,2254
5,MLP,9,0.9999975673673898,1.0,2258
5,XGBoost,0,3.975821563419991e-12,0.00709849157054126,2254
5,XGBoost,1,2.215721817652408e-11,0.015971606033717833,2254
5,XGBoost,2,3.374101683462741e-10,0.10070984915705412,2254
5,XGBoost,3,1.9868309447959533e-07,0.3944099378881988,2254
5,XGBoost,4,0.0008390023608477343,0.6725820763087844,2254
5,XGBoost,5,0.14315030401506873,0.8158828748890861,2254
5,XGBoost,6,0.9475897550932997,0.751109139307897,2254
5,XGBoost,7,0.999995634446659,0.9338952972493345,2254
5,XGBoost,8,0.9999999999990125,1.0,2254
5,XGBoost,9,0.9999999999998822,1.0,2258
6,QSVM,0,0.017000974645260254,0.34915705412599823,2254
6,QSVM,1,0.02929425673007408,0.06832298136645963,2254
6,QSVM,2,0.039237849582531785,0.040372670807453416,2254
6,QSVM,3,0.042370546454921894,0.160603371783496,2254
6,QSVM,4,0.13380451510274236,0.6419698314108252,2254
6,QSVM,5,0.3787951001275769,0.8070097604259094,2254
6,QSVM,6,0.7254430015175785,0.7023070097604259,2254
6,QSVM,7,0.9551708715311289,0.9498669032830523,2254
6,QSVM,8,0.9794150526151525,0.9782608695652174,2254
6,QSVM,9,0.9896099425026942,0.9937998228520815,2258
6,SVM-RBF,0,0.024772312726113684,0.3890860692102928,2254
6,SVM-RBF,1,0.04289168949980081,0.018633540372670808,2254
6,SVM-RBF,2,0.05499873092789861,0.05545696539485359,2254
6,SVM-RBF,3,0.06826907412721196,0.15173025732031944,2254
6,SVM-RBF,4,0.273540952501396,0.7302573203194321,2254
6,SVM-RBF,5,0.5849380955625942,0.7533274179236912,2254
6,SVM-RBF,6,0.767315266157489,0.6291038154392191,2254
6,SVM-RBF,7,0.9640451073414636,0.981810115350488,2254
6,SVM-RBF,8,0.9863981895080445,0.9942324755989352,2254
6,SVM-RBF,9,0.9976755972072648,0.9880425155004429,2258
6,RandomForest,0,4.621739270766416e-75,0.04214729370008873,2254
6,RandomForest,1,4.621739270766416e-75,0.052795031055900624,2254
6,RandomForest,2,1.4941485724729404e-32,0.06566104702750665,2254
6,RandomForest,3,1.8074103664694028e-12,0.4228039041703638,2254
6,RandomForest,4,9.665040891221613e-06,0.6428571428571429,2254
6,RandomForest,5,0.2346645026710821,0.7666370896184561,2254
6,RandomForest,6,0.995182986474603,0.7555456965394853,2254
6,RandomForest,7,0.9999999999999988,0.9733806566104702,2254
6,RandomForest,8,1.0,0.9835847382431233,2254
6,RandomForest,9,1.0,0.9862710363153233,2258
6,MLP,0,0.0017680495939156166,0.32298136645962733,2254
6,MLP,1,0.003103843096196944,0.055013309671694766,2254
6,MLP,2,0.009355837024517207,0.0013309671694764862,2254
6,MLP,3,0.057850896801768054,0.26175687666370895,2254
6,MLP,4,0.3352999627994513,0.6015971606033718,2254
6,MLP,5,0.5496186602555382,0.8025732031943212,2254
6,MLP,6,0.7136096753412046,0.673469387755102,2254
6,MLP,7,0.9948568114072428,0.9729370008873115,2254
6,MLP,8,0.9999999170945202,1.0,2254
6,MLP,9,0.9999999285585862,1.0,2258
6,XGBoost,0,3.0284276036973014e-16,0.006211180124223602,2254
6,XGBoost,1,8.798295498383235e-15,0.001774622892635315,2254
6,XGBoost,2,6.14364694640604e-13,0.03460514640638864,2254
6,XGBoost,3,3.4295091250225374e-08,0.520851818988465,2254
6,XGBoost,4,0.0014219978511854144,0.665927240461402,2254
6,XGBoost,5,0.6999687871703613,0.6468500443655724,2254
6,XGBoost,6,0.999916965901861,0.8793256433007985,2254
6,XGBoost,7,0.999999998060763,0.9582963620230701,2254
6,XGBoost,8,1.0,0.9911268855368234,2254
6,XGBoost,9,1.0,0.9867139061116031,2258
7,QSVM,0,0.013298498802633054,0.17125110913930788,2254
7,QSVM,1,0.024733841834781375,0.09139307897071872,2254
7,QSVM,2,0.027239807660134754,0.01818988464951198,2254
7,QSVM,3,0.03232638634440306,0.1929902395740905,2254
7,QSVM,4,0.14659348811584752,0.7258207630878438,2254
