f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,mix,n_test
0.7958053493578414,0.8215425805787252,0.16521672283673958,0.6013838983412695,0.7059449554622911,0.9999999706955963,0.17351667725790065,0.6731074342574194,0.9432825949308935,0.9393438008917838,5.74221,-1.34445,3,RandomForest,Balanced_50/50,19422
0.8119824426444635,0.7733471525201833,0.22715414786641258,0.7253015705626028,0.7069129099757449,0.9999999776201723,0.22491012433632113,0.6732785986620069,0.9428943159717045,0.9715742184054073,5.74221,-1.34445,3,RandomForest,AttackHeavy_30/70,18332
0.8334065290587029,0.8674509347155087,0.11158456612605089,0.4135109480875674,,,0.12674046183939444,,0.9526450822883201,0.9401892961544309,5.74221,-1.34445,3,RandomForest,DoS_only,17171
0.79244661579843,0.805323859540727,0.09546870653252623,0.32978172931405536,0.5373821546061076,0.839410142809332,0.1286377040809545,0.33926558750503566,0.9102262841278217,0.925017288002975,1.19981,-0.16785,3,MLP,Balanced_50/50,19422
0.8265778431457369,0.7813113680994982,0.16418651830365744,0.5970049624762559,0.5407605744866009,0.8395178647563175,0.15470738444351742,0.34301882652024057,0.9108432358514014,0.9626016794236072,1.19981,-0.16785,3,MLP,AttackHeavy_30/70,18332
0.7771021178444119,0.8142798905130744,0.11103378425935254,0.30161399631561087,,,0.11816515970925699,,0.8945216557437559,0.9091642501215468,1.19981,-0.16785,3,MLP,DoS_only,17171
0.7940079272557706,0.8180413963546493,0.15168974144622052,0.6708354165930158,0.6799561907883502,0.9999929961021167,0.1703998467051709,0.6379951564690295,0.942327540453129,0.9408632571079576,3.24638,-0.91652,3,XGBoost,Balanced_50/50,19422
0.8127866199082816,0.7728562077241982,0.21155954595937126,0.8329056877609798,0.6834656351800404,0.9999932156327133,0.21665753160052106,0.6419530692524744,0.9415822747509174,0.9720256663210831,3.24638,-0.91652,3,XGBoost,AttackHeavy_30/70,18332
0.835563228312473,0.8668685574515171,0.10047240628527856,0.409420699609253,,,0.1258264685580593,,0.9536243965343741,0.9451321006897638,3.24638,-0.91652,3,XGBoost,DoS_only,17171
0.7710945544854322,0.8054268355473174,0.13627423676299844,0.4027895288529208,0.6382695547322156,0.9978183756673314,0.14978768305736054,0.5467432756412567,0.8764099645865822,0.9099362412146068,3.35189,0.10434,4,QSVM,Balanced_50/50,19422
