run_id,model,threshold,f1_macro,fpr,recall_R2L,recall_U2R
2,MLP,0.7,0.7735778610142119,0.07167130058696324,0.18682842287694973,0.11940298507462686
2,MLP,0.75,0.7665190194406303,0.06291834002677377,0.16984402079722705,0.1044776119402985
2,MLP,0.8,0.7543461310825611,0.05725465966429822,0.12478336221837089,0.05970149253731343
2,MLP,0.85,0.7452382772423662,0.017094017094017096,0.04956672443674177,0.0
2,MLP,0.9,0.7351208285717039,0.013283904850169911,0.04540727902946274,0.0
2,MLP,0.95,0.7269579411084314,0.009988672639275048,0.0440207972270364,0.0
2,XGBoost,0.05,0.8379999668831826,0.125939656060138,0.6422876949740035,0.34328358208955223
2,XGBoost,0.1,0.8359827482623725,0.12305632787560498,0.6235701906412479,0.3283582089552239
2,XGBoost,0.15,0.8345634131432593,0.12048192771084337,0.6110918544194107,0.3283582089552239
2,XGBoost,0.2,0.833191224136888,0.11759859952631037,0.6024263431542461,0.3283582089552239
2,XGBoost,0.25,0.8321188476694079,0.11687776748017711,0.5954939341421144,0.31343283582089554
2,XGBoost,0.3,0.8320560073965921,0.11358253526928226,0.5892547660311959,0.26865671641791045
2,XGBoost,0.35,0.831377848800579,0.11265575120996808,0.5826689774696707,0.26865671641791045
2,XGBoost,0.4,0.8298201355550388,0.11214087117701575,0.5746967071057192,0.22388059701492538
2,XGBoost,0.45,0.8292716232010745,0.11121408711770157,0.5694974003466204,0.22388059701492538
2,XGBoost,0.5,0.8290238172376001,0.11049325507156832,0.5677642980935875,0.22388059701492538
2,XGBoost,0.55,0.8286848251519091,0.109978375038616,0.5649913344887348,0.22388059701492538
2,XGBoost,0.6,0.8301163917682939,0.10555040675522603,0.5622183708838822,0.208955223880597
2,XGBoost,0.65,0.8296092396986647,0.10462362269591186,0.5601386481802426,0.208955223880597
2,XGBoost,0.7,0.8279723375980274,0.10338791061682628,0.5445407279029463,0.208955223880597
2,XGBoost,0.75,0.8279188065567179,0.10132839048501699,0.5403812824956672,0.208955223880597
2,XGBoost,0.8,0.8262788760595039,0.10009267840593142,0.5261698440207973,0.208955223880597
2,XGBoost,0.85,0.8141550847721506,0.0842343733909999,0.3819757365684575,0.208955223880597
2,XGBoost,0.9,0.8115360764267718,0.0813510452064669,0.3608318890814558,0.19402985074626866
2,XGBoost,0.95,0.805663499274499,0.07095046854082998,0.3046793760831889,0.1791044776119403
3,QSVM,0.05,0.8576828528655442,0.1956544125218824,0.866897746967071,0.9402985074626866
3,QSVM,0.1,0.8399851994285236,0.15003604160230666,0.6731369150779896,0.8656716417910447
3,QSVM,0.15,0.8346801638079623,0.1302646483369375,0.6467937608318891,0.8059701492537313
3,QSVM,0.2,0.8296674346638404,0.11327360724951087,0.6176776429809359,0.7761194029850746
3,QSVM,0.25,0.8380677581273968,0.07239213263309649,0.5941074523396881,0.746268656716418
3,QSVM,0.3,0.8307084472568316,0.06538976418494491,0.5802426343154246,0.7313432835820896
3,QSVM,0.35,0.8232059105542837,0.059211203789517046,0.5597920277296361,0.7014925373134329
3,QSVM,0.4,0.8182653392802284,0.053135619400679644,0.5424610051993067,0.6567164179104478
3,QSVM,0.45,0.813420902113619,0.04706003501184224,0.5192374350086655,0.6119402985074627
3,QSVM,0.5,0.8075233216594646,0.04335289877458552,0.4932409012131716,0.5223880597014925
3,QSVM,0.55,0.8030373390580245,0.04119040263618577,0.48180242634315423,0.47761194029850745
3,QSVM,0.6,0.7981608152308859,0.037792194418700444,0.4655112651646447,0.44776119402985076
3,QSVM,0.65,0.7943752010006311,0.03377613016167233,0.45164644714038127,0.40298507462686567
3,QSVM,0.7,0.7882257513674671,0.030789825970548863,0.43327556325823224,0.3582089552238806
3,QSVM,0.75,0.7791785330492152,0.028524353825558645,0.4097053726169844,0.3582089552238806
3,QSVM,0.8,0.7717976466003253,0.0260529296673875,0.3830155979202773,0.34328358208955223
3,QSVM,0.85,0.7479720736962778,0.022963649469673567,0.33136915077989604,0.29850746268656714
3,QSVM,0.9,0.735698710153057,0.020080321285140562,0.2974003466204506,0.2537313432835821
3,QSVM,0.95,0.7142902997146161,0.012769024817217589,0.23466204506065858,0.1791044776119403
3,SVM-RBF,0.05,0.7629265445811295,0.47801462259293587,0.9968804159445407,0.9104477611940298
3,SVM-RBF,0.1,0.8652779706613751,0.23354958294717332,0.9792027729636048,0.9104477611940298
3,SVM-RBF,0.15,0.8342952137211304,0.21604366182679435,0.8488734835355286,0.8805970149253731
3,SVM-RBF,0.2,0.8179651335975147,0.19833178869323448,0.7733102253032929,0.8059701492537313
3,SVM-RBF,0.25,0.8134068710689515,0.1768098033158274,0.7143847487001733,0.7164179104477612
3,SVM-RBF,0.3,0.7966580282471097,0.1582741221295438,0.6405545927209705,0.5970149253731343
3,SVM-RBF,0.35,0.7810895406129057,0.1478735454639069,0.5916811091854419,0.5223880597014925
3,SVM-RBF,0.4,0.7709498500316383,0.1360313047060035,0.5074523396880416,0.44776119402985076
