run_id,model,calibrator,category,mean_prob
7,RandomForest,temperature,U2R,0.3259232281670142
7,MLP,platt,Normal,0.11790907520171823
7,MLP,platt,DoS,0.7764526156721927
7,MLP,platt,Probe,0.9591995760779274
7,MLP,platt,R2L,0.5002299744381176
7,MLP,platt,U2R,0.32517050908268014
7,MLP,isotonic,Normal,0.10962236767073529
7,MLP,isotonic,DoS,0.7543947245781377
7,MLP,isotonic,Probe,0.9730923484320999
7,MLP,isotonic,R2L,0.43585300973054686
7,MLP,isotonic,U2R,0.2917281266101471
7,MLP,temperature,Normal,0.11899385300714548
7,MLP,temperature,DoS,0.7775202076777092
7,MLP,temperature,Probe,0.9597174378399801
7,MLP,temperature,R2L,0.5045200648049076
7,MLP,temperature,U2R,0.3287541459905311
7,XGBoost,platt,Normal,0.06938132035074697
7,XGBoost,platt,DoS,0.7396609131743993
7,XGBoost,platt,Probe,0.9500723377791611
7,XGBoost,platt,R2L,0.472073891743434
7,XGBoost,platt,U2R,0.344938946584179
7,XGBoost,isotonic,Normal,0.06790386334531132
7,XGBoost,isotonic,DoS,0.7383168246061734
7,XGBoost,isotonic,Probe,0.9479197819994655
7,XGBoost,isotonic,R2L,0.4725507637180706
7,XGBoost,isotonic,U2R,0.3407963482587064
7,XGBoost,temperature,Normal,0.07424727124063549
7,XGBoost,temperature,DoS,0.7523548621212004
7,XGBoost,temperature,Probe,0.9552989205896522
7,XGBoost,temperature,R2L,0.4895007116046767
7,XGBoost,temperature,U2R,0.35423547066754424
8,QSVM,platt,Normal,0.10591873191553397
8,QSVM,platt,DoS,0.7707403092710136
8,QSVM,platt,Probe,0.7218406389169095
8,QSVM,platt,R2L,0.468587960011105
8,QSVM,platt,U2R,0.4933196140766821
8,QSVM,isotonic,Normal,0.10919708281204903
8,QSVM,isotonic,DoS,0.7791106094967758
8,QSVM,isotonic,Probe,0.7228988270539056
8,QSVM,isotonic,R2L,0.49719043493365633
8,QSVM,isotonic,U2R,0.5023396053925664
8,QSVM,temperature,Normal,0.11497007601733154
8,QSVM,temperature,DoS,0.7809795671276324
8,QSVM,temperature,Probe,0.7366629316148167
8,QSVM,temperature,R2L,0.49129240914328787
8,QSVM,temperature,U2R,0.5122091147492788
8,SVM-RBF,platt,Normal,0.1305275985421972
8,SVM-RBF,platt,DoS,0.7204392937969291
8,SVM-RBF,platt,Probe,0.7959981668027556
8,SVM-RBF,platt,R2L,0.47741993627338625
8,SVM-RBF,platt,U2R,0.601137329320377
8,SVM-RBF,isotonic,Normal,0.12347687417693504
8,SVM-RBF,isotonic,DoS,0.728433014092657
8,SVM-RBF,isotonic,Probe,0.7978158093329842
8,SVM-RBF,isotonic,R2L,0.4888816484509412
8,SVM-RBF,isotonic,U2R,0.5995539662522672
8,SVM-RBF,temperature,Normal,0.15037268411567029
8,SVM-RBF,temperature,DoS,0.7377802665939381
8,SVM-RBF,temperature,Probe,0.8133058455816123
8,SVM-RBF,temperature,R2L,0.5278069715576464
8,SVM-RBF,temperature,U2R,0.6467521921876731
8,RandomForest,platt,Normal,0.06865726600591528
8,RandomForest,platt,DoS,0.751050427923517
8,RandomForest,platt,Probe,0.904168628330495
8,RandomForest,platt,R2L,0.31432580002296495
8,RandomForest,platt,U2R,0.3756283984934546
8,RandomForest,isotonic,Normal,0.07499557697906899
