ece_full,ece_rare,brier_full,brier_rare,auc_pr,run_id,model,calibrator,temperature
0.1338912797920689,0.5383871537847772,0.14732442796230316,0.4171668589115143,0.9517307476292978,7,XGBoost,none,
0.17058340284202544,0.5308116236107904,0.18254000269703757,0.5113534510552276,0.9501076202412675,7,XGBoost,platt,
0.17976703027905233,0.5304395973374096,0.18713272026961936,0.5240255176098915,0.8382467869920887,7,XGBoost,isotonic,
0.1621294527163654,0.5135693328203869,0.17472542632404456,0.48803581997636386,0.9236288872087081,7,XGBoost,temperature,0.266731444989987
0.18703864171790371,0.5009453341579679,0.14507991439251988,0.27675570284084383,0.9387141029130464,8,QSVM,none,
0.13330371591014542,0.530850718572095,0.15352691968049847,0.40197711331688696,0.9387141029130464,8,QSVM,platt,
0.1268914870618764,0.5026926970376359,0.14304874696737624,0.3519917879009166,0.9221229074177025,8,QSVM,isotonic,
0.12351676903152144,0.5082328553297442,0.14841478967960173,0.37742944571525466,0.9387141029130464,8,QSVM,temperature,0.30074488891685264
0.10329720699937432,0.48271162125727635,0.13670864270129449,0.2620115919191156,0.9268631948561356,8,SVM-RBF,none,
0.1362467178885608,0.5197721147651814,0.15819355902073975,0.34301825090233434,0.9268631948561356,8,SVM-RBF,platt,
0.12648530120175325,0.5086064798374433,0.15551382841509306,0.33413314219179224,0.9130596532079797,8,SVM-RBF,isotonic,
0.12854383296411317,0.4694933909822547,0.15077882437051582,0.296064908336915,0.9268631948561356,8,SVM-RBF,temperature,0.4736789432747548
0.13967273817127987,0.5864464793360434,0.14342636274791085,0.4149786082505307,0.9486830714082909,8,RandomForest,none,
