featset,model,n_train,run_id,run_seed,f1_macro,params,secs
k20,XGBoost,10000,6,105,0.7542235469991128,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",10.7
k20,RandomForest,10000,6,105,0.7320841150370443,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",24.9
all122,XGBoost,100,7,106,0.757138572688082,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",4.8
all122,RandomForest,100,7,106,0.7753266084660841,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.2
k20,XGBoost,100,7,106,0.7646091074194721,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",4.6
k20,RandomForest,100,7,106,0.7858206252474893,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",11.9
all122,XGBoost,200,7,106,0.7847991213875525,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",5.3
all122,RandomForest,200,7,106,0.7777701629504274,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.4
k20,XGBoost,200,7,106,0.7980905773647489,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",5.6
k20,RandomForest,200,7,106,0.7917130461815309,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",12.4
all122,XGBoost,500,7,106,0.7829058782966893,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",6.6
all122,RandomForest,500,7,106,0.7744386866607231,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",13.2
k20,XGBoost,500,7,106,0.7682278440146515,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",6.7
k20,RandomForest,500,7,106,0.771969992255022,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 1}",13.1
all122,XGBoost,1000,7,106,0.7969350442260196,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",8.0
all122,RandomForest,1000,7,106,0.7894982726422751,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",16.9
