n,run_id,kernel,f1_macro,kta,offdiag_mean,offdiag_std
10,3,ZZ,0.7751048951048951,0.1591921382565699,0.020599232461834996,0.11393749344858133
10,3,Z,0.7896049248032417,0.18233363787176826,0.16420405217441006,0.24821670220318023
10,4,ZZ,0.7654050672505475,0.16644727700360407,0.022467206216657015,0.11941976396029717
10,4,Z,0.8433315925732507,0.1826381074538343,0.17394288362842802,0.2555536350341459
10,5,ZZ,0.7748428941089491,0.1472053338721465,0.018806613236387368,0.10698061043550591
10,5,Z,0.8330662393162394,0.17630186508857687,0.15877169967289687,0.24704847671018346
10,6,ZZ,0.8164198533584041,0.1657594247144317,0.02362210496367737,0.1236903261904417
10,6,Z,0.8299829982998299,0.17725979021755972,0.16126767684082624,0.24915394483375283
10,7,ZZ,0.8396507950648078,0.16152555853064277,0.022317488300103338,0.11873190199483415
10,7,Z,0.8499983333148147,0.18763475861876622,0.16978702580767516,0.25372710760029415
10,8,ZZ,0.7651637144390768,0.15851476300027004,0.021289374146695843,0.11603317719608301
10,8,Z,0.7930021367521367,0.18456054761897378,0.16359819628382646,0.2508423614589814
10,9,ZZ,0.8565375504620825,0.16047879431173584,0.021701249093249976,0.11785551810436096
10,9,Z,0.8266358463726885,0.1850051915472487,0.16071203222828542,0.2508029638083967
10,10,ZZ,0.8630762209036968,0.16985933123522803,0.02498965767083375,0.12707035942412456
10,10,Z,0.8729720092708148,0.18504841797669305,0.1726821626385432,0.2576899278118533
