run,kernel,C,f1,f1_macro,balanced_accuracy,precision,recall,accuracy,tn,fp,fn,tp,degenerate
2,quantum,0.5623413252,0.7702702702702703,0.5582120582120582,0.574002574002574,0.6705882352941176,0.9047619047619048,0.66,9,28,6,57,False
2,quantum,1.0,0.7692307692307693,0.5951417004048583,0.5986700986700987,0.6875,0.873015873015873,0.67,12,25,8,55,False
2,quantum,1.77827941,0.7808219178082192,0.5941146626078133,0.601029601029601,0.6867469879518072,0.9047619047619048,0.68,11,26,6,57,False
2,quantum,3.1622776602,0.7755102040816326,0.5764343473238351,0.5875160875160875,0.6785714285714286,0.9047619047619048,0.67,10,27,6,57,False
2,quantum,5.6234132519,0.7724137931034483,0.5862068965517242,0.5930930930930931,0.6829268292682927,0.8888888888888888,0.67,11,26,7,56,False
2,quantum,10.0,0.7777777777777778,0.6031746031746031,0.6066066066066066,0.691358024691358,0.8888888888888888,0.68,12,25,7,56,False
2,quantum,17.7827941004,0.7777777777777778,0.6031746031746031,0.6066066066066066,0.691358024691358,0.8888888888888888,0.68,12,25,7,56,False
2,quantum,31.6227766017,0.7832167832167832,0.6196785670469881,0.6201201201201201,0.7,0.8888888888888888,0.69,13,24,7,56,False
2,quantum,56.234132519,0.782608695652174,0.6493688639551192,0.6447876447876448,0.72,0.8571428571428571,0.7,16,21,9,54,False
2,quantum,100.0,0.7941176470588235,0.6783088235294117,0.6718146718146718,0.7397260273972602,0.8571428571428571,0.72,18,19,9,54,False
2,linear,0.001,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0017782794,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0031622777,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0056234133,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.01,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.0562341325,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.1,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,linear,0.316227766,0.7534246575342466,0.54337899543379,0.5581295581295581,0.6626506024096386,0.873015873015873,0.64,9,28,8,55,False
2,linear,0.5623413252,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,1.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,1.77827941,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,3.1622776602,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,5.6234132519,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,10.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,17.7827941004,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,31.6227766017,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,56.234132519,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,linear,100.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,0.001,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0017782794,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0031622777,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0056234133,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.01,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.0562341325,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.1,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,poly,0.177827941,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,0.316227766,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
